galaxy,n_points,distance_mpc,low_point_fit,log10_M200,log10_rs,M200,rs,chi2_red,success,status,nfev,hit_lower_mass,hit_upper_mass,hit_lower_rs,hit_upper_rs
CamB,9,3.36,False,9.486098767535607,1.9999999998640692,3062659866.6094565,99.99999996870078,3.389872730489676,True,2,12,False,False,False,True
D631-7,16,7.72,False,11.94139557085288,1.9999999999999993,873766863971.5857,99.99999999999984,5.4486219187904465,True,2,11,False,False,False,True
DDO064,14,6.8,False,12.234549370516758,1.9999999999999998,1716126788009.9326,99.99999999999994,0.5651649105214592,True,2,10,False,False,False,True
DDO154,12,4.04,False,10.992973976160824,1.3406371149067133,98395214351.17598,21.909734502612498,1.7678256925039464,True,2,9,False,False,False,False
DDO161,31,7.5,False,11.749432082735714,1.9999999999999967,561606444506.6144,99.99999999999923,0.7861263695654771,True,2,12,False,False,False,True
DDO168,10,4.25,False,12.176191405629597,1.9999999999999998,1500345933896.2734,99.99999999999994,5.3202947084122085,True,2,10,False,False,False,True
DDO170,8,15.4,False,10.807284812150817,1.2110820647813545,64163022244.23443,16.258559503230877,1.1326740149741128,True,2,9,False,False,False,False
ESO079-G014,15,28.7,False,12.576269504939955,1.833892445948256,3769376381094.2925,68.2169732279079,3.807338204126466,True,2,10,False,False,False,False
ESO116-G012,15,13.0,False,11.77856260444446,1.3810485288962404,600568575865.7172,24.046314831172054,2.338344442702222,True,2,9,False,False,False,False
ESO563-G021,30,60.8,False,12.738326307219854,1.5917417312966553,5474271178556.949,39.060853741081445,20.632338470932037,True,2,10,False,False,False,False
F563-1,17,48.9,False,11.496370519082634,1.2548253060439418,313596003304.2403,17.981474689543134,1.0693489481499823,True,2,6,False,False,False,False
F563-V2,10,59.7,False,11.990726414950418,1.436193841553946,978873147204.0433,27.30196097540043,1.2325506917610356,True,2,14,False,False,False,False
F568-1,12,90.7,False,12.186944207862286,1.5549011277189289,1537957052198.5493,35.8840231117507,0.8377618036268053,True,3,12,False,False,False,False
F568-3,18,82.4,False,12.300056129006249,1.9999999999999998,1995520202952.6194,99.99999999999994,3.248639880710393,True,4,10,False,False,False,True
F568-V1,15,80.6,False,11.313361742824895,0.9037878662416884,205760375035.4055,8.012865745241438,0.21722467736581116,True,2,6,False,False,False,False
F571-8,13,53.3,False,12.737716223113587,1.9999999999999993,5466586482402.21,99.99999999999984,20.205028335631237,True,2,9,False,False,False,True
F574-1,14,96.8,False,11.378853380674123,1.20162314639352,239250790106.6441,15.908277071044697,1.6437232626982576,True,2,9,False,False,False,False
F579-V1,14,89.5,False,10.986538968248883,0.6206217672007542,96948025463.98483,4.174666310768116,0.18979807493507728,True,2,7,False,False,False,False
F583-1,25,35.4,False,11.516882341375856,1.4754119439793523,328762550790.2542,29.882157054327816,1.5633711373371981,True,2,9,False,False,False,False
F583-4,12,53.3,False,11.345087890073152,1.438504814068161,221354262858.03845,27.447627684605926,0.1517128456936628,True,2,10,False,False,False,False
IC2574,34,3.91,False,11.67116352348379,1.999999999999995,468989936154.46423,99.99999999999882,3.0567473039777395,True,2,11,False,False,False,True
IC4202,32,100.4,False,12.576610300730577,1.7028401535035198,3772335414203.317,50.44755860242261,40.17479681701754,True,2,8,False,False,False,False
KK98-251,15,6.8,False,11.504013341491431,1.9999999999999998,319163590039.2038,99.99999999999994,1.8974080270817633,True,4,12,False,False,False,True
NGC0024,29,7.3,False,11.007530375229459,0.6294030360803402,101749052855.72084,4.2599356237179,0.9312027327107414,True,2,6,False,False,False,False
NGC0055,21,2.11,False,12.073442447437921,1.9999999999999998,1184247420518.9993,99.99999999999994,1.7652538371741713,True,4,12,False,False,False,True
NGC0100,21,13.5,False,12.370202956151871,1.9999999999999891,2345324585280.766,99.9999999999975,0.7879980298913574,True,3,12,False,False,False,True
NGC0247,26,3.7,False,11.427317606625,1.3062091274853989,267496193673.4541,20.239935654336485,0.867234508849513,True,2,9,False,False,False,False
NGC0289,28,20.8,False,11.823649735440794,1.2891653926384652,666269197059.403,19.461010754037098,1.9525937228412842,True,2,7,False,False,False,False
NGC0300,25,2.08,False,11.465121575459014,1.2964747668948877,291824382653.9688,19.79132027611425,0.6403682609079109,True,2,8,False,False,False,False
NGC0801,13,80.7,False,11.992601457831924,1.4481594092927732,983108515357.2542,28.064635710874565,7.633853288292304,True,2,12,False,False,False,False
NGC0891,18,9.91,False,12.765180524636376,1.9999999999985592,5823452328537.937,99.99999999966823,19.06599758316578,True,2,11,False,False,False,True
